,fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
6508,propane,27.0,1.084144579632052,1302.918471823724,2.25,2.6653504442250737,3,1523.370380651851,1362.097312608305,1274.029696749683,170.82760170450933,1.225539307876992
6509,propane,27.0,1.084144579632052,1302.918471823724,2.25,2.6653504442250737,2,1523.370380651851,1362.097312608305,1274.029696749683,170.82760170450933,1.225539307876992
6510,propane,27.0,1.0789831303714943,1326.1989849437937,2.5,2.6653504442250737,3,1610.9019544753237,1424.1598526004373,1323.5162980450878,173.92339147648957,1.2498548843561037
6511,propane,27.0,1.0789831303714943,1326.1989849437937,2.5,2.6653504442250737,2,1610.9019544753237,1424.1598526004373,1323.5162980450878,173.92339147648957,1.2498548843561037
6512,propane,27.0,1.0746564225505308,1349.3881324854606,2.75,2.6653504442250737,3,1697.8147415968042,1489.1161656662898,1376.3852851277202,176.94961860589294,1.2728580969287482
6513,propane,27.0,1.0746564225505308,1349.3881324854606,2.75,2.6653504442250737,2,1697.8147415968042,1489.1161656662898,1376.3852851277202,176.94961860589294,1.2728580969287482
6514,propane,27.0,1.0709972888711798,1371.9297334957444,3.0,2.6653504442250737,3,1787.8293481801984,1555.862387480508,1431.8982606610316,179.9469595886437,1.2952260831457103
6515,propane,27.0,1.0709972888711798,1371.9297334957444,3.0,2.6653504442250737,2,1787.8293481801984,1555.862387480508,1431.8982606610316,179.9469595886437,1.2952260831457103
6516,propane,27.0,1.0686918479041647,1412.9194189778746,3.25,2.6653504442250737,3,1958.971885830078,1699.6862957319408,1556.6681567139326,185.20642330366678,1.3124428892524425
6517,propane,27.0,1.0686918479041647,1412.9194189778746,3.25,2.6653504442250737,2,1958.971885830078,1699.6862957319408,1556.6681567139326,185.20642330366678,1.3124428892524425
6518,propane,27.0,1.070454949114096,1451.0434082734178,3.5,2.6653504442250737,3,2122.653601286563,1850.3026220768688,1696.729856273188,190.1187178207294,1.3029651187485187
6519,propane,27.0,1.070454949114096,1451.0434082734178,3.5,2.6653504442250737,2,2122.653601286563,1850.3026220768688,1696.729856273188,190.1187178207294,1.3029651187485187
6520,propane,27.0,1.0721808447595202,1482.8105812339863,3.75,2.6653504442250737,3,2271.956027346688,1989.6017066379673,1827.09839973331,194.20131585923224,1.293577922536488
6521,propane,27.0,1.0721808447595202,1482.8105812339863,3.75,2.6653504442250737,2,2271.956027346688,1989.6017066379673,1827.09839973331,194.20131585923224,1.293577922536488
6522,propane,27.0,1.0738171204389344,1509.5419132736608,4.0,2.6653504442250737,3,2407.8902690911855,2118.3713658666998,1948.1754353910587,197.62079122601543,1.2849679021933358
6523,propane,27.0,1.0738171204389344,1509.5419132736608,4.0,2.6653504442250737,2,2407.8902690911855,2118.3713658666998,1948.1754353910587,197.62079122601543,1.2849679021933358
6524,propane,27.0,1.0754263521466996,1532.2195758799294,4.25,2.6653504442250737,3,2531.3729496522074,2237.4854833212935,2060.809541815173,200.50652408428857,1.2767760476043448
6525,propane,27.0,1.0754263521466996,1532.2195758799294,4.25,2.6653504442250737,2,2531.3729496522074,2237.4854833212935,2060.809541815173,200.50652408428857,1.2767760476043448
6526,propane,27.0,1.0770504708921236,1551.5558677965366,4.5,2.6653504442250737,3,2643.2208372550303,2347.5999721904523,2165.679760063907,202.953739569905,1.268757627348914
6527,propane,27.0,1.0770504708921236,1551.5558677965366,4.5,2.6653504442250737,2,2643.2208372550303,2347.5999721904523,2165.679760063907,202.953739569905,1.268757627348914
6528,propane,27.0,1.0787139493733342,1568.0834778696121,4.75,2.6653504442250737,3,2744.1689366655287,2449.24154573695,2263.320425644031,205.03424002874584,1.2607674571588674
6529,propane,27.0,1.0787139493733342,1568.0834778696121,4.75,2.6653504442250737,2,2744.1689366655287,2449.24154573695,2263.320425644031,205.03424002874584,1.2607674571588674
6530,propane,27.0,1.0804318740491456,1582.2114599733675,5.0,2.6653504442250737,3,2834.8596738910496,2542.837646316902,2354.1618328922546,206.80310891666545,1.2527181672809462
6531,propane,27.0,1.0804318740491456,1582.2114599733675,5.0,2.6653504442250737,2,2834.8596738910496,2542.837646316902,2354.1618328922546,206.80310891666545,1.2527181672809462
6532,propane,27.0,1.082216781254919,1594.2565902127378,5.25,2.6653504442250737,3,2915.825288386978,2628.727692304827,2438.545781150072,208.30306470479695,1.2445463161576547
6533,propane,27.0,1.082216781254919,1594.2565902127378,5.25,2.6653504442250737,2,2915.825288386978,2628.727692304827,2438.545781150072,208.30306470479695,1.2445463161576547
6534,propane,27.0,1.0840821749512153,1604.4607306970058,5.5,2.6653504442250737,3,2987.491754829767,2707.156869755335,2516.7310682799707,209.5669088271507,1.2361910641468177
6535,propane,27.0,1.0840821749512153,1604.4607306970058,5.5,2.6653504442250737,2,2987.491754829767,2707.156869755335,2516.7310682799707,209.5669088271507,1.2361910641468177
6536,propane,27.0,1.0860437333400375,1612.99796574654,5.75,2.6653504442250737,3,3050.210204860015,2778.263999587274,2588.8801439134936,210.6193936174773,1.227587398976106
6537,propane,27.0,1.0860437333400375,1612.99796574654,5.75,2.6653504442250737,2,3050.210204860015,2778.263999587274,2588.8801439134936,210.6193936174773,1.227587398976106
6538,propane,27.0,1.0881145108378893,1619.9818426790064,6.0,2.6653504442250737,3,3104.3152718986025,2842.080841169378,2655.048675020484,211.47825029748236,1.2186760783014254
6539,propane,27.0,1.0881145108378893,1619.9818426790064,6.0,2.6653504442250737,2,3104.3152718986025,2842.080841169378,2655.048675020484,211.47825029748236,1.2186760783014254
6540,propane,27.0,1.0902951126874736,1625.4765878902615,6.25,2.6653504442250737,3,3150.1954625260473,2898.558737216066,2715.1709513004594,212.15561255156916,1.209432968340275
6541,propane,27.0,1.0902951126874736,1625.4765878902615,6.25,2.6653504442250737,2,3150.1954625260473,2898.558737216066,2715.1709513004594,212.15561255156916,1.209432968340275
6542,propane,27.0,1.0925613708579203,1629.5177312245955,6.5,2.6653504442250737,3,3188.349901519599,2947.63475901644,2769.036516879809,212.6615657490011,1.199919029826989
6543,propane,27.0,1.0925613708579203,1629.5177312245955,6.5,2.6653504442250737,2,3188.349901519599,2947.63475901644,2769.036516879809,212.6615657490011,1.199919029826989
6544,propane,27.0,1.0948549434014532,1632.1414208125825,6.75,2.6653504442250737,3,3219.409082900496,2989.3304522446897,2816.490646456876,212.99773092825413,1.1903118784186162
6545,propane,27.0,1.0948549434014532,1632.1414208125825,6.75,2.6653504442250737,2,3219.409082900496,2989.3304522446897,2816.490646456876,212.99773092825413,1.1903118784186162
6546,propane,27.0,1.0970865861170949,1633.4131165434842,7.0,2.6653504442250737,3,3244.112916712939,3023.848533525044,2857.2782217715703,213.17360291605434,1.1809344187961501
6547,propane,27.0,1.0970865861170949,1633.4131165434842,7.0,2.6653504442250737,2,3244.112916712939,3023.848533525044,2857.2782217715703,213.17360291605434,1.1809344187961501
6548,propane,27.0,1.09915630267833,1633.4432623376706,7.25,2.6653504442250737,3,3263.2589661756842,3051.6255163650485,2891.3482424850545,213.19874425360894,1.1721837334631844
6549,propane,27.0,1.09915630267833,1633.4432623376706,7.25,2.6653504442250737,2,3263.2589661756842,3051.6255163650485,2891.3482424850545,213.19874425360894,1.1721837334631844
6550,propane,27.0,1.100981207151455,1632.383640533481,7.5,2.6653504442250737,3,3277.6432834623206,3073.2840968773953,2918.890626743022,213.08708148175123,1.164423388289862
6551,propane,27.0,1.100981207151455,1632.383640533481,7.5,2.6653504442250737,2,3277.6432834623206,3073.2840968773953,2918.890626743022,213.08708148175123,1.164423388289862
6552,propane,27.0,1.1025154698174766,1630.409409009958,7.75,2.6653504442250737,3,3288.0121905467904,3089.59219575429,2940.358889125208,212.85621833508537,1.1578792937906162
6553,propane,27.0,1.1025154698174766,1630.409409009958,7.75,2.6653504442250737,2,3288.0121905467904,3089.59219575429,2940.358889125208,212.85621833508537,1.1578792937906162
6554,propane,27.5,1.1139587328628426,1124.7811415861472,0.75,2.7147087857847976,3,1112.8739042667335,1049.3450824670624,1002.1754439156208,147.26849510370192,1.1430649285829755
